t,x
29.469999999999999,-85.590000000000003
29.5,-70.739999999999995
29.530000000000001,-53.5
29.57,-35.520000000000003
29.600000000000001,-19.93
29.629999999999999,2.3090000000000002
29.670000000000002,20.609999999999999
29.699999999999999,37.460000000000001
29.73,53.259999999999998
29.77,65.629999999999995
29.800000000000001,75.260000000000005
29.829999999999998,81.939999999999998
29.870000000000001,81.890000000000001
29.899999999999999,81.760000000000005
29.93,73.920000000000002
29.969999999999999,62.899999999999999
30,49.68
30.030000000000001,33.600000000000001
30.07,13.75
30.100000000000001,-6.4649999999999999
30.129999999999999,-26.850000000000001
30.170000000000002,-47.039999999999999
30.199999999999999,-69.379999999999995
30.23,-86.010000000000005
30.27,-98.930000000000007
30.300000000000001,-109.40000000000001
30.329999999999998,-115.7
30.370000000000001,-117
30.399999999999999,-116.8
30.43,-110
30.469999999999999,-102
30.5,-87.950000000000003
30.530000000000001,-73.819999999999993
30.57,-56.07
30.600000000000001,-37.789999999999999
30.629999999999999,-17.07
30.670000000000002,2.4649999999999999
30.699999999999999,24.079999999999998
30.73,39.909999999999997
30.77,54.5
30.800000000000001,66.329999999999998
30.829999999999998,76.120000000000005
30.870000000000001,78.650000000000006
30.899999999999999,78.859999999999999
30.93,77.760000000000005
30.969999999999999,73.590000000000003
31,62.840000000000003
31.030000000000001,47.310000000000002
31.07,28.719999999999999
31.100000000000001,10.91
31.129999999999999,-9.4719999999999995
31.170000000000002,-30.640000000000001
31.199999999999999,-50.719999999999999
31.23,-69.079999999999998
31.27,-85.370000000000005
31.300000000000001,-98.859999999999999
31.329999999999998,-107.09999999999999
31.370000000000001,-112.3
31.399999999999999,-112.5
31.43,-110.40000000000001
31.469999999999999,-104
31.5,-90.670000000000002
31.530000000000001,-77.780000000000001
31.57,-61.990000000000002
31.600000000000001,-44.460000000000001
31.629999999999999,-25.120000000000001
31.670000000000002,-7.0789999999999997
31.699999999999999,12.140000000000001
31.73,30.530000000000001
31.77,46.490000000000002
31.800000000000001,58.920000000000002
31.829999999999998,70.319999999999993
31.870000000000001,77.939999999999998
31.899999999999999,80.569999999999993
31.93,80.680000000000007
31.969999999999999,80.730000000000004
32,71.269999999999996
32.030000000000001,60.869999999999997
32.07,48.200000000000003
32.100000000000001,31.5
32.130000000000003,11.710000000000001
32.170000000000002,-8.4589999999999996
32.200000000000003,-30.039999999999999
32.229999999999997,-48.43
32.270000000000003,-67.549999999999997
32.299999999999997,-83.640000000000001
32.329999999999998,-96.469999999999999
32.369999999999997,-104.8
32.399999999999999,-109.2
32.43,-110.8
32.469999999999999,-103.5
32.5,-103
32.530000000000001,-91.180000000000007
32.57,-78.230000000000004
32.600000000000001,-62.530000000000001
32.630000000000003,-45.130000000000003
32.670000000000002,-24.699999999999999
32.700000000000003,-5.2590000000000003
32.729999999999997,13.84
32.770000000000003,31.579999999999998
32.799999999999997,45.539999999999999
32.829999999999998,58.219999999999999
32.869999999999997,71.700000000000003
32.899999999999999,79.620000000000005
32.93,83.079999999999998
32.969999999999999,82.859999999999999
33,78.269999999999996
33.030000000000001,71.299999999999997
33.07,57.93
33.100000000000001,43.590000000000003
33.130000000000003,26.43
33.170000000000002,6.1840000000000002
33.200000000000003,-13.73
33.229999999999997,-33.329999999999998
33.270000000000003,-51.640000000000001
33.299999999999997,-69.019999999999996
33.329999999999998,-84.349999999999994
33.369999999999997,-96.969999999999999
33.399999999999999,-105.40000000000001
33.43,-107.59999999999999
33.469999999999999,-108
33.5,-104.5
33.530000000000001,-97.340000000000003
33.57,-86.859999999999999
33.600000000000001,-78.650000000000006
33.630000000000003,-57.369999999999997
33.670000000000002,-40.229999999999997
33.700000000000003,-20.43
33.729999999999997,-2.2029999999999998
33.770000000000003,16.739999999999998
33.799999999999997,34.520000000000003
33.829999999999998,48.859999999999999
33.869999999999997,61.359999999999999
33.899999999999999,71.459999999999994
33.93,78.859999999999999
33.969999999999999,80.760000000000005
34,80.579999999999998
34.030000000000001,76.739999999999995
34.07,66.200000000000003
34.100000000000001,55.920000000000002
34.130000000000003,39.520000000000003
34.170000000000002,22.59
34.200000000000003,2.5659999999999998
34.229999999999997,-17.579999999999998
34.270000000000003,-39.289999999999999
34.299999999999997,-59.07
34.329999999999998,-76.140000000000001
34.369999999999997,-89.609999999999999
34.399999999999999,-101.09999999999999
34.43,-108
34.469999999999999,-109.7
34.5,-109.40000000000001
34.530000000000001,-107.8
34.57,-100.7
34.600000000000001,-88.709999999999994
34.630000000000003,-73.079999999999998
34.670000000000002,-55.219999999999999
34.700000000000003,-35.350000000000001
34.729999999999997,-16.34
34.770000000000003,1.7330000000000001
34.799999999999997,19.100000000000001
34.829999999999998,36.009999999999998
34.869999999999997,51.460000000000001
34.899999999999999,63.850000000000001
34.93,73.170000000000002
34.969999999999999,84.269999999999996
35,72.829999999999998
35.030000000000001,69.890000000000001
35.07,78.450000000000003
35.200000000000003,17.969999999999999
35.229999999999997,-0.46700000000000003
35.270000000000003,-21.600000000000001
35.299999999999997,-39.93
35.329999999999998,-57.240000000000002
35.369999999999997,-74.739999999999995
35.399999999999999,-88.430000000000007
35.43,-98.019999999999996
35.469999999999999,-104.59999999999999
35.5,-105.7
35.530000000000001,-106
35.57,-106
35.600000000000001,-86.319999999999993
35.630000000000003,-75.459999999999994
35.670000000000002,-61.789999999999999
35.700000000000003,-46.770000000000003
35.729999999999997,-29.73
35.770000000000003,-16.940000000000001
35.799999999999997,-2.2370000000000001
